
Source node,  Dest node,   traffic,  Optical Reach,  Modulation Format,  OSNR,  num Hops,    Q_margin
2	, 23	,      929.000	,     2480.000	, 4	,       13.835	, 31	,        0.000	 

21	, 23	,      639.000	,     1920.000	, 8	,       15.016	, 24	,        2.000	 

12	, 1	,      977.000	,     2960.000	, 4	,       13.006	, 37	,        0.000	 

33	, 25	,       21.000	,     1840.000	, 8	,       15.211	, 23	,        0.000	 

20	, 26	,      270.000	,     1680.000	, 8	,       15.626	, 21	,        1.000	 

25	, 7	,      161.000	,     2880.000	, 4	,       13.135	, 36	,        0.000	 

34	, 35	,      655.000	,     1920.000	, 8	,       15.016	, 24	,        2.000	 

3	, 32	,      350.000	,     2320.000	, 4	,       14.144	, 29	,        1.000	 

26	, 27	,      966.000	,     2160.000	, 4	,       14.475	, 27	,        1.000	 

15	, 28	,        7.000	,     4080.000	, 4	,       11.472	, 51	,        2.000	 

23	, 34	,      753.000	,     1600.000	, 8	,       15.848	, 20	,        2.000	 

27	, 23	,      209.000	,      960.000	, 8	,       18.146	, 12	,        2.000	 

8	, 15	,      422.000	,     2320.000	, 4	,       14.144	, 29	,        0.000	 

27	, 20	,      762.000	,     3840.000	, 4	,       11.766	, 48	,        2.000	 

2	, 14	,      624.000	,     2800.000	, 4	,       13.268	, 35	,        2.000	 

8	, 13	,      595.000	,     3280.000	, 4	,       12.520	, 41	,        0.000	 

15	, 13	,      291.000	,     4080.000	, 4	,       11.472	, 51	,        2.000	 

8	, 5	,      596.000	,     3040.000	, 4	,       12.880	, 38	,        1.000	 

27	, 30	,      668.000	,     1760.000	, 8	,       15.414	, 22	,        0.000	 

1	, 0	,       53.000	,     3760.000	, 4	,       11.867	, 47	,        0.000	 

14	, 34	,      900.000	,     1200.000	, 8	,       17.147	, 15	,        2.000	 

19	, 6	,      728.000	,     1280.000	, 8	,       16.857	, 16	,        2.000	 

16	, 28	,      807.000	,     2320.000	, 4	,       14.144	, 29	,        1.000	 

5	, 27	,      813.000	,     2320.000	, 4	,       14.144	, 29	,        2.000	 

24	, 28	,      935.000	,     3440.000	, 4	,       12.294	, 43	,        2.000	 

32	, 6	,      519.000	,     2080.000	, 4	,       14.648	, 26	,        2.000	 

19	, 35	,      224.000	,     2240.000	, 4	,       14.307	, 28	,        0.000	 

31	, 13	,      989.000	,     3440.000	, 4	,       12.294	, 43	,        2.000	 

24	, 35	,       93.000	,     2640.000	, 4	,       13.543	, 33	,        1.000	 

31	, 11	,      314.000	,     2720.000	, 4	,       13.403	, 34	,        0.000	 

32	, 8	,      458.000	,     2480.000	, 4	,       13.835	, 31	,        0.000	 

0	, 16	,      798.000	,     2160.000	, 4	,       14.475	, 27	,        2.000	 

36	, 11	,        9.000	,      880.000	, 8	,       18.534	, 11	,        2.000	 

8	, 7	,      538.000	,     2480.000	, 4	,       13.835	, 31	,        0.000	 

20	, 3	,      190.000	,     3680.000	, 4	,       11.971	, 46	,        2.000	 

22	, 27	,      815.000	,     1520.000	, 8	,       16.081	, 19	,        2.000	 

7	, 0	,      202.000	,      320.000	, 12	,       22.998	, 4	,        0.000	 

2	, 18	,      328.000	,     2960.000	, 4	,       13.006	, 37	,        0.000	 

17	, 10	,      875.000	,     4480.000	, 4	,       11.016	, 56	,        2.000	 

10	, 14	,      844.000	,     1840.000	, 8	,       15.211	, 23	,        0.000	 

3	, 31	,      322.000	,     3040.000	, 4	,       12.880	, 38	,        0.000	 

23	, 31	,      557.000	,     2160.000	, 4	,       14.475	, 27	,        2.000	 

19	, 10	,       75.000	,     2640.000	, 4	,       13.543	, 33	,        2.000	 

7	, 27	,        3.000	,     1760.000	, 8	,       15.414	, 22	,        2.000	 

21	, 11	,      401.000	,     1840.000	, 8	,       15.211	, 23	,        0.000	 

3	, 21	,        2.000	,     2320.000	, 4	,       14.144	, 29	,        1.000	 

13	, 16	,       88.000	,     3280.000	, 4	,       12.520	, 41	,        1.000	 

0	, 25	,      832.000	,     3200.000	, 4	,       12.638	, 40	,        0.000	 

21	, 33	,      721.000	,     2160.000	, 4	,       14.475	, 27	,        0.000	 

17	, 2	,      368.000	,     1600.000	, 8	,       15.848	, 20	,        0.000	 

10	, 4	,      434.000	,     2240.000	, 4	,       14.307	, 28	,        1.000	 

4	, 36	,      145.000	,     1600.000	, 8	,       15.848	, 20	,        2.000	 

28	, 36	,      139.000	,     1040.000	, 8	,       17.789	, 13	,        0.000	 

23	, 16	,      687.000	,     2000.000	, 4	,       14.829	, 25	,        1.000	 

36	, 8	,      866.000	,     2560.000	, 4	,       13.687	, 32	,        1.000	 

29	, 18	,      297.000	,     4240.000	, 4	,       11.285	, 53	,        2.000	 

2	, 23	,      488.000	,     2480.000	, 4	,       13.835	, 31	,        1.000	 

9	, 14	,      114.000	,      960.000	, 8	,       18.146	, 12	,        0.000	 

16	, 21	,      786.000	,     3280.000	, 4	,       12.520	, 41	,        1.000	 

36	, 24	,      185.000	,     2960.000	, 4	,       13.006	, 37	,        1.000	 

3	, 21	,      832.000	,     2320.000	, 4	,       14.144	, 29	,        2.000	 

22	, 3	,      321.000	,     2080.000	, 4	,       14.648	, 26	,        0.000	 

0	, 34	,      481.000	,     1760.000	, 8	,       15.414	, 22	,        1.000	 

15	, 22	,      129.000	,     3360.000	, 4	,       12.406	, 42	,        2.000	 

32	, 19	,      173.000	,      800.000	, 8	,       18.958	, 10	,        2.000	 

21	, 11	,      292.000	,     1840.000	, 8	,       15.211	, 23	,        2.000	 

21	, 9	,      154.000	,     3200.000	, 4	,       12.638	, 40	,        2.000	 

25	, 34	,      186.000	,     3360.000	, 4	,       12.406	, 42	,        0.000	 

32	, 28	,      168.000	,     1280.000	, 8	,       16.857	, 16	,        2.000	 

28	, 27	,      958.000	,     1600.000	, 8	,       15.848	, 20	,        2.000	 

11	, 27	,      477.000	,     1760.000	, 8	,       15.414	, 22	,        1.000	 

11	, 26	,      334.000	,      720.000	, 8	,       19.426	, 9	,        0.000	 

24	, 13	,      833.000	,     3440.000	, 4	,       12.294	, 43	,        2.000	 

0	, 13	,      518.000	,     1120.000	, 8	,       17.457	, 14	,        1.000	 

4	, 24	,      763.000	,     1360.000	, 8	,       16.584	, 17	,        2.000	 

7	, 20	,      102.000	,     2080.000	, 4	,       14.648	, 26	,        2.000	 

29	, 2	,      802.000	,     1280.000	, 8	,       16.857	, 16	,        1.000	 

0	, 34	,      543.000	,     1760.000	, 8	,       15.414	, 22	,        0.000	 

10	, 34	,       61.000	,     3040.000	, 4	,       12.880	, 38	,        2.000	 

28	, 7	,      505.000	,     2240.000	, 4	,       14.307	, 28	,        0.000	 

31	, 17	,      492.000	,     5520.000	, 4	,        9.980	, 69	,        2.000	 

19	, 21	,       64.000	,      480.000	, 12	,       21.217	, 6	,        2.000	 

5	, 25	,      413.000	,     4080.000	, 4	,       11.472	, 51	,        2.000	 

12	, 27	,      235.000	,     1440.000	, 8	,       16.325	, 18	,        1.000	 

5	, 33	,      896.000	,     2720.000	, 4	,       13.403	, 34	,        2.000	 

4	, 31	,      140.000	,     1360.000	, 8	,       16.584	, 17	,        1.000	 

16	, 10	,       19.000	,     3440.000	, 4	,       12.294	, 43	,        0.000	 

32	, 18	,      658.000	,     1840.000	, 8	,       15.211	, 23	,        1.000	 

11	, 29	,       18.000	,     3680.000	, 4	,       11.971	, 46	,        2.000	 

31	, 17	,      800.000	,     5520.000	, 4	,        9.980	, 69	,        1.000	 

21	, 17	,       10.000	,     2160.000	, 4	,       14.475	, 27	,        0.000	 

35	, 18	,      576.000	,     2800.000	, 4	,       13.268	, 35	,        2.000	 

3	, 1	,      164.000	,     1360.000	, 8	,       16.584	, 17	,        0.000	 

9	, 14	,      565.000	,      960.000	, 8	,       18.146	, 12	,        1.000	 

23	, 5	,      625.000	,     2320.000	, 4	,       14.144	, 29	,        2.000	 

30	, 20	,      423.000	,     4240.000	, 4	,       11.285	, 53	,        2.000	 

28	, 0	,      123.000	,     2560.000	, 4	,       13.687	, 32	,        1.000	 

2	, 6	,      195.000	,     1360.000	, 8	,       16.584	, 17	,        1.000	 

13	, 35	,      202.000	,     3360.000	, 4	,       12.406	, 42	,        1.000	 

24	, 10	,       11.000	,     3600.000	, 4	,       12.076	, 45	,        1.000	 

23	, 5	,      153.000	,     2320.000	, 4	,       14.144	, 29	,        2.000	 

7	, 19	,      188.000	,     1040.000	, 8	,       17.789	, 13	,        2.000	 

28	, 5	,      662.000	,     3440.000	, 4	,       12.294	, 43	,        1.000	 

16	, 10	,      477.000	,     3440.000	, 4	,       12.294	, 43	,        2.000	 

32	, 6	,      303.000	,     2080.000	, 4	,       14.648	, 26	,        1.000	 

2	, 23	,      477.000	,     2480.000	, 4	,       13.835	, 31	,        2.000	 

21	, 30	,      801.000	,     2880.000	, 4	,       13.135	, 36	,        1.000	 

4	, 17	,      993.000	,     4160.000	, 4	,       11.378	, 52	,        0.000	 

29	, 33	,      111.000	,     4000.000	, 4	,       11.568	, 50	,        0.000	 

9	, 27	,       72.000	,     1040.000	, 8	,       17.789	, 13	,        1.000	 

17	, 35	,      556.000	,     3920.000	, 4	,       11.666	, 49	,        1.000	 

0	, 33	,      526.000	,     1840.000	, 8	,       15.211	, 23	,        0.000	 

11	, 26	,      617.000	,      720.000	, 8	,       19.426	, 9	,        2.000	 

28	, 3	,      585.000	,     1360.000	, 8	,       16.584	, 17	,        0.000	 

14	, 10	,      229.000	,     1840.000	, 8	,       15.211	, 23	,        0.000	 

33	, 28	,      296.000	,     1200.000	, 8	,       17.147	, 15	,        1.000	 

23	, 31	,      584.000	,     2160.000	, 4	,       14.475	, 27	,        0.000	 

13	, 36	,      457.000	,     2640.000	, 4	,       13.543	, 33	,        1.000	 

4	, 23	,      607.000	,      800.000	, 8	,       18.958	, 10	,        2.000	 

19	, 13	,       67.000	,     2480.000	, 4	,       13.835	, 31	,        1.000	 

16	, 0	,      223.000	,     2160.000	, 4	,       14.475	, 27	,        2.000	 

10	, 36	,      741.000	,     2800.000	, 4	,       13.268	, 35	,        1.000	 

36	, 35	,      221.000	,     1840.000	, 8	,       15.211	, 23	,        2.000	 

0	, 22	,      205.000	,     1840.000	, 8	,       15.211	, 23	,        2.000	 

5	, 6	,      637.000	,     2400.000	, 4	,       13.987	, 30	,        2.000	 

27	, 6	,      176.000	,     2960.000	, 4	,       13.006	, 37	,        1.000	 

4	, 20	,      881.000	,     3360.000	, 4	,       12.406	, 42	,        0.000	 

28	, 7	,      855.000	,     2240.000	, 4	,       14.307	, 28	,        0.000	 

19	, 0	,      611.000	,     1360.000	, 8	,       16.584	, 17	,        2.000	 

17	, 28	,      752.000	,     3120.000	, 4	,       12.758	, 39	,        2.000	 

26	, 24	,       40.000	,     3040.000	, 4	,       12.880	, 38	,        1.000	 

22	, 34	,      112.000	,     2160.000	, 4	,       14.475	, 27	,        1.000	 

33	, 10	,       40.000	,     3120.000	, 4	,       12.758	, 39	,        2.000	 

36	, 16	,      497.000	,     2800.000	, 4	,       13.268	, 35	,        1.000	 

0	, 3	,      353.000	,     2640.000	, 4	,       13.543	, 33	,        1.000	 

10	, 2	,       44.000	,     3680.000	, 4	,       11.971	, 46	,        1.000	 

20	, 30	,      192.000	,     4240.000	, 4	,       11.285	, 53	,        2.000	 

18	, 21	,      503.000	,     2400.000	, 4	,       13.987	, 30	,        1.000	 

3	, 11	,      292.000	,     2320.000	, 4	,       14.144	, 29	,        1.000	 

12	, 26	,      129.000	,     1040.000	, 8	,       17.789	, 13	,        0.000	 

9	, 13	,      601.000	,     2640.000	, 4	,       13.543	, 33	,        2.000	 

16	, 35	,      213.000	,     1520.000	, 8	,       16.081	, 19	,        1.000	 

34	, 6	,      392.000	,     3280.000	, 4	,       12.520	, 41	,        0.000	 

14	, 11	,       27.000	,      960.000	, 8	,       18.146	, 12	,        1.000	 

32	, 34	,      498.000	,     2160.000	, 4	,       14.475	, 27	,        0.000	 

22	, 20	,      604.000	,     2720.000	, 4	,       13.403	, 34	,        0.000	 

32	, 19	,      706.000	,      800.000	, 8	,       18.958	, 10	,        1.000	 

36	, 28	,      489.000	,     1040.000	, 8	,       17.789	, 13	,        1.000	 

8	, 6	,      619.000	,     3680.000	, 4	,       11.971	, 46	,        0.000	 

19	, 10	,      818.000	,     2640.000	, 4	,       13.543	, 33	,        2.000	 

22	, 7	,      975.000	,     1520.000	, 8	,       16.081	, 19	,        2.000	 

36	, 5	,       98.000	,     2400.000	, 4	,       13.987	, 30	,        1.000	 

30	, 10	,      971.000	,     4480.000	, 4	,       11.016	, 56	,        1.000	 

0	, 8	,      545.000	,     2160.000	, 4	,       14.475	, 27	,        2.000	 

18	, 9	,      769.000	,     2080.000	, 4	,       14.648	, 26	,        0.000	 

34	, 16	,      289.000	,      400.000	, 12	,       22.018	, 5	,        2.000	 

15	, 13	,      245.000	,     4080.000	, 4	,       11.472	, 51	,        0.000	 

18	, 5	,      601.000	,      320.000	, 12	,       22.998	, 4	,        0.000	 

1	, 6	,      152.000	,     3760.000	, 4	,       11.867	, 47	,        1.000	 

9	, 30	,      901.000	,     2800.000	, 4	,       13.268	, 35	,        0.000	 

33	, 29	,      600.000	,     4000.000	, 4	,       11.568	, 50	,        2.000	 

9	, 2	,       28.000	,     3760.000	, 4	,       11.867	, 47	,        0.000	 

20	, 24	,      943.000	,     4720.000	, 4	,       10.760	, 59	,        0.000	 

19	, 34	,       49.000	,     2960.000	, 4	,       13.006	, 37	,        0.000	 

18	, 20	,      608.000	,     2960.000	, 4	,       13.006	, 37	,        2.000	 

20	, 12	,      954.000	,     2720.000	, 4	,       13.403	, 34	,        0.000	 

4	, 7	,      949.000	,     1280.000	, 8	,       16.857	, 16	,        0.000	 

20	, 22	,      748.000	,     2720.000	, 4	,       13.403	, 34	,        0.000	 

36	, 15	,       35.000	,     3600.000	, 4	,       12.076	, 45	,        2.000	 

25	, 13	,      853.000	,     4320.000	, 4	,       11.194	, 54	,        0.000	 

29	, 30	,      923.000	,     4720.000	, 4	,       10.760	, 59	,        1.000	 

7	, 8	,      944.000	,     2480.000	, 4	,       13.835	, 31	,        1.000	 

9	, 5	,      411.000	,     2400.000	, 4	,       13.987	, 30	,        2.000	 

24	, 10	,      549.000	,     3600.000	, 4	,       12.076	, 45	,        2.000	 

32	, 9	,      964.000	,     1920.000	, 8	,       15.016	, 24	,        2.000	 

5	, 7	,      142.000	,     1200.000	, 8	,       17.147	, 15	,        0.000	 

28	, 14	,      426.000	,     2240.000	, 4	,       14.307	, 28	,        1.000	 

8	, 17	,      404.000	,     4960.000	, 4	,       10.514	, 62	,        0.000	 

12	, 26	,      375.000	,     1040.000	, 8	,       17.789	, 13	,        1.000	 

22	, 30	,      736.000	,     2640.000	, 4	,       13.543	, 33	,        1.000	 

29	, 34	,      256.000	,     5280.000	, 4	,       10.203	, 66	,        0.000	 

23	, 36	,      482.000	,      880.000	, 8	,       18.534	, 11	,        1.000	 

7	, 10	,      230.000	,     1600.000	, 8	,       15.848	, 20	,        0.000	 

5	, 6	,      637.000	,     2400.000	, 4	,       13.987	, 30	,        1.000	 

26	, 15	,      662.000	,     3680.000	, 4	,       11.971	, 46	,        0.000	 

21	, 22	,      416.000	,     1360.000	, 8	,       16.584	, 17	,        0.000	 

15	, 23	,      233.000	,     2800.000	, 4	,       13.268	, 35	,        2.000	 

11	, 0	,      303.000	,      640.000	, 8	,       19.947	, 8	,        2.000	 

32	, 25	,      317.000	,     1920.000	, 8	,       15.016	, 24	,        0.000	 

27	, 6	,      200.000	,     2960.000	, 4	,       13.006	, 37	,        1.000	 

31	, 22	,       50.000	,     2720.000	, 4	,       13.403	, 34	,        1.000	 

13	, 6	,      903.000	,     2640.000	, 4	,       13.543	, 33	,        0.000	 

9	, 36	,      902.000	,     2160.000	, 4	,       14.475	, 27	,        2.000	 

0	, 1	,      282.000	,     3760.000	, 4	,       11.867	, 47	,        0.000	 

4	, 20	,      402.000	,     3360.000	, 4	,       12.406	, 42	,        0.000	 

20	, 27	,      878.000	,     3840.000	, 4	,       11.766	, 48	,        1.000	 

33	, 4	,      971.000	,      880.000	, 8	,       18.534	, 11	,        2.000	 

34	, 14	,      504.000	,     1200.000	, 8	,       17.147	, 15	,        1.000	 

2	, 31	,      698.000	,     4560.000	, 4	,       10.929	, 57	,        2.000	 

9	, 11	,       37.000	,     1920.000	, 8	,       15.016	, 24	,        1.000	 

8	, 0	,      508.000	,     2160.000	, 4	,       14.475	, 27	,        0.000	 

35	, 36	,      515.000	,     1840.000	, 8	,       15.211	, 23	,        1.000	 

11	, 22	,       58.000	,     1200.000	, 8	,       17.147	, 15	,        0.000	 

9	, 24	,      117.000	,      800.000	, 8	,       18.958	, 10	,        2.000	 

5	, 20	,      330.000	,     3280.000	, 4	,       12.520	, 41	,        0.000	 

30	, 27	,       82.000	,     1760.000	, 8	,       15.414	, 22	,        2.000	 

21	, 18	,      484.000	,     2400.000	, 4	,       13.987	, 30	,        1.000	 

29	, 22	,      951.000	,     3200.000	, 4	,       12.638	, 40	,        1.000	 

35	, 22	,      110.000	,     1520.000	, 8	,       16.081	, 19	,        2.000	 

2	, 23	,      977.000	,     2480.000	, 4	,       13.835	, 31	,        2.000	 

18	, 28	,      113.000	,     3120.000	, 4	,       12.758	, 39	,        0.000	 

14	, 28	,      723.000	,     2240.000	, 4	,       14.307	, 28	,        1.000	 

22	, 2	,      778.000	,     1920.000	, 8	,       15.016	, 24	,        2.000	 

35	, 11	,      974.000	,     1760.000	, 8	,       15.414	, 22	,        1.000	 

13	, 15	,      153.000	,     4080.000	, 4	,       11.472	, 51	,        1.000	 

15	, 12	,      676.000	,     3040.000	, 4	,       12.880	, 38	,        2.000	 

31	, 24	,      309.000	,     1600.000	, 8	,       15.848	, 20	,        0.000	 

2	, 27	,      116.000	,     3120.000	, 4	,       12.758	, 39	,        2.000	 

20	, 6	,      679.000	,      880.000	, 8	,       18.534	, 11	,        1.000	 

8	, 5	,      826.000	,     3040.000	, 4	,       12.880	, 38	,        2.000	 

25	, 27	,      340.000	,     2240.000	, 4	,       14.307	, 28	,        2.000	 

33	, 5	,      721.000	,     2720.000	, 4	,       13.403	, 34	,        1.000	 

14	, 30	,      902.000	,     2640.000	, 4	,       13.543	, 33	,        0.000	 

16	, 7	,      745.000	,     2480.000	, 4	,       13.835	, 31	,        1.000	 

21	, 31	,      806.000	,     4000.000	, 4	,       11.568	, 50	,        0.000	 

35	, 23	,      907.000	,      960.000	, 8	,       18.146	, 12	,        1.000	 

24	, 6	,       84.000	,     3840.000	, 4	,       11.766	, 48	,        1.000	 

33	, 18	,      996.000	,     2400.000	, 4	,       13.987	, 30	,        2.000	 

26	, 17	,      708.000	,     2480.000	, 4	,       13.835	, 31	,        1.000	 

33	, 11	,      131.000	,     1360.000	, 8	,       16.584	, 17	,        2.000	 

30	, 2	,      722.000	,     3440.000	, 4	,       12.294	, 43	,        2.000	 

5	, 34	,      269.000	,     2640.000	, 4	,       13.543	, 33	,        2.000	 

25	, 10	,      918.000	,     4480.000	, 4	,       11.016	, 56	,        2.000	 

32	, 25	,      486.000	,     1920.000	, 8	,       15.016	, 24	,        2.000	 

34	, 36	,      158.000	,     2400.000	, 4	,       13.987	, 30	,        2.000	 

3	, 28	,       37.000	,     1360.000	, 8	,       16.584	, 17	,        2.000	 

23	, 28	,      602.000	,     1280.000	, 8	,       16.857	, 16	,        1.000	 

22	, 26	,      292.000	,     1520.000	, 8	,       16.081	, 19	,        2.000	 

24	, 7	,      352.000	,     2640.000	, 4	,       13.543	, 33	,        0.000	 

24	, 30	,      315.000	,     3600.000	, 4	,       12.076	, 45	,        0.000	 

8	, 5	,      336.000	,     3040.000	, 4	,       12.880	, 38	,        0.000	 

13	, 28	,      828.000	,     3680.000	, 4	,       11.971	, 46	,        1.000	 

16	, 29	,      449.000	,     5120.000	, 4	,       10.356	, 64	,        2.000	 

25	, 34	,      520.000	,     3360.000	, 4	,       12.406	, 42	,        1.000	 

27	, 29	,      162.000	,     4400.000	, 4	,       11.105	, 55	,        0.000	 

8	, 7	,      361.000	,     2480.000	, 4	,       13.835	, 31	,        0.000	 

10	, 24	,      714.000	,     3600.000	, 4	,       12.076	, 45	,        1.000	 

24	, 16	,      638.000	,     2560.000	, 4	,       13.687	, 32	,        0.000	 

31	, 1	,      521.000	,     4160.000	, 4	,       11.378	, 52	,        2.000	 

27	, 17	,      234.000	,     4640.000	, 4	,       10.844	, 58	,        2.000	 

28	, 27	,      557.000	,     1600.000	, 8	,       15.848	, 20	,        2.000	 

5	, 34	,      549.000	,     2640.000	, 4	,       13.543	, 33	,        2.000	 

14	, 22	,      350.000	,     1520.000	, 8	,       16.081	, 19	,        0.000	 

19	, 22	,      737.000	,      880.000	, 8	,       18.534	, 11	,        2.000	 

14	, 4	,      393.000	,      400.000	, 12	,       22.018	, 5	,        0.000	 

14	, 20	,      337.000	,     2960.000	, 4	,       13.006	, 37	,        0.000	 

17	, 4	,      664.000	,     4160.000	, 4	,       11.378	, 52	,        1.000	 

18	, 13	,      281.000	,      960.000	, 8	,       18.146	, 12	,        1.000	 

17	, 34	,      652.000	,     4960.000	, 4	,       10.514	, 62	,        1.000	 

24	, 33	,      396.000	,     2240.000	, 4	,       14.307	, 28	,        0.000	 

23	, 18	,      174.000	,     2000.000	, 4	,       14.829	, 25	,        0.000	 

13	, 20	,      941.000	,     3520.000	, 4	,       12.184	, 44	,        1.000	 

0	, 10	,      805.000	,     1280.000	, 8	,       16.857	, 16	,        0.000	 

19	, 1	,      615.000	,     3440.000	, 4	,       12.294	, 43	,        1.000	 

16	, 4	,      893.000	,     1200.000	, 8	,       17.147	, 15	,        1.000	 

27	, 12	,      695.000	,     1440.000	, 8	,       16.325	, 18	,        0.000	 

23	, 15	,      172.000	,     2800.000	, 4	,       13.268	, 35	,        0.000	 

1	, 20	,      268.000	,     4320.000	, 4	,       11.194	, 54	,        0.000	 

10	, 15	,      774.000	,     4240.000	, 4	,       11.285	, 53	,        0.000	 

9	, 29	,      182.000	,     5040.000	, 4	,       10.435	, 63	,        2.000	 

32	, 28	,      874.000	,     1280.000	, 8	,       16.857	, 16	,        1.000	 

30	, 16	,      460.000	,     1520.000	, 8	,       16.081	, 19	,        1.000	 

17	, 6	,      122.000	,     1680.000	, 8	,       15.626	, 21	,        1.000	 

3	, 29	,      605.000	,     4160.000	, 4	,       11.378	, 52	,        0.000	 

14	, 2	,      343.000	,     2800.000	, 4	,       13.268	, 35	,        0.000	 

18	, 34	,      672.000	,     2320.000	, 4	,       14.144	, 29	,        1.000	 

10	, 25	,      762.000	,     4480.000	, 4	,       11.016	, 56	,        2.000	 

18	, 30	,      908.000	,     3760.000	, 4	,       11.867	, 47	,        2.000	 

34	, 27	,      204.000	,     1280.000	, 8	,       16.857	, 16	,        1.000	 

18	, 26	,      945.000	,     1280.000	, 8	,       16.857	, 16	,        1.000	 

6	, 31	,      367.000	,     3840.000	, 4	,       11.766	, 48	,        1.000	 

5	, 6	,      556.000	,     2400.000	, 4	,       13.987	, 30	,        2.000	 

26	, 27	,      283.000	,     2160.000	, 4	,       14.475	, 27	,        2.000	 

12	, 32	,      583.000	,      320.000	, 12	,       22.998	, 4	,        0.000	 

13	, 7	,       18.000	,     1440.000	, 8	,       16.325	, 18	,        0.000	 

11	, 30	,      324.000	,     2880.000	, 4	,       13.135	, 36	,        0.000	 

23	, 26	,      643.000	,     1520.000	, 8	,       16.081	, 19	,        0.000	 

13	, 6	,       68.000	,     2640.000	, 4	,       13.543	, 33	,        0.000	 

31	, 11	,      828.000	,     2720.000	, 4	,       13.403	, 34	,        1.000	 

0	, 18	,      697.000	,      560.000	, 8	,       20.537	, 7	,        1.000	 

32	, 36	,      408.000	,      240.000	, 12	,       24.257	, 3	,        2.000	 

2	, 25	,      238.000	,     2160.000	, 4	,       14.475	, 27	,        0.000	 

7	, 5	,      501.000	,     1200.000	, 8	,       17.147	, 15	,        1.000	 

29	, 18	,      650.000	,     4240.000	, 4	,       11.285	, 53	,        2.000	 

15	, 11	,      869.000	,     3360.000	, 4	,       12.406	, 42	,        2.000	 

35	, 23	,      713.000	,      960.000	, 8	,       18.146	, 12	,        2.000	 

1	, 0	,      972.000	,     3760.000	, 4	,       11.867	, 47	,        2.000	 

2	, 18	,      177.000	,     2960.000	, 4	,       13.006	, 37	,        2.000	 

12	, 14	,      364.000	,      640.000	, 8	,       19.947	, 8	,        0.000	 

31	, 26	,      237.000	,     3040.000	, 4	,       12.880	, 38	,        0.000	 

33	, 17	,      169.000	,     4320.000	, 4	,       11.194	, 54	,        2.000	 

32	, 8	,      182.000	,     2480.000	, 4	,       13.835	, 31	,        2.000	 

5	, 27	,      670.000	,     2320.000	, 4	,       14.144	, 29	,        1.000	 

18	, 31	,      213.000	,     2880.000	, 4	,       13.135	, 36	,        2.000	 

26	, 32	,      742.000	,     1360.000	, 8	,       16.584	, 17	,        1.000	 

32	, 35	,      434.000	,     1760.000	, 8	,       15.414	, 22	,        0.000	 

1	, 23	,      867.000	,     2480.000	, 4	,       13.835	, 31	,        2.000	 

32	, 13	,      257.000	,     2400.000	, 4	,       13.987	, 30	,        0.000	 

